name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;404;0;728;3075;1061;3075;1107;0
header;277;87;277;128;1883;128;1883;87
A;1067;154;1067;181;1090;181;1090;154
B;1060;827;1060;854;1079;854;1079;827
A;944;845;944;861;952;861;952;845
A;1088;1010;1088;1010;1088;1010;1088;1010
A;927;1105;927;1107;929;1107;929;1105
B;650;1317;650;1329;657;1329;657;1317
B;787;1491;787;1509;801;1509;801;1491
C;1048;1497;1048;1527;1069;1527;1069;1497
A;743;1630;743;1646;752;1646;752;1630
B;913;1721;913;1740;927;1740;927;1721
B;671;1861;671;1876;679;1876;679;1861
B;954;1952;954;1971;971;1971;971;1952
D;1041;2169;1041;2196;1062;2196;1062;2169
B;876;2180;876;2199;889;2199;889;2180
B;1003;2410;1003;2429;1018;2429;1018;2410
A;739;2545;739;2561;747;2561;747;2545
B;923;2594;923;2610;932;2610;932;2594
