name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;476;0;384;3073;875;3073;1007;0
header;232;107;232;146;1877;146;1877;107
B;804;920;804;938;817;938;817;920
A;788;1009;788;1009;789;1009;789;1009
A;891;1146;891;1146;891;1146;891;1146
A;772;1570;772;1571;774;1571;774;1570
A;923;1600;923;1605;926;1605;926;1600
A;782;1968;782;1968;782;1968;782;1968
A;467;2197;467;2200;468;2200;468;2197
A;710;2247;710;2247;710;2247;710;2247
A;882;2290;882;2291;883;2291;883;2290
A;792;2335;792;2335;793;2335;793;2335
A;747;2339;747;2339;747;2339;747;2339
A;905;2340;905;2341;906;2341;906;2340
A;434;2381;434;2383;435;2383;435;2381
A;611;2383;611;2384;613;2384;613;2383
A;818;2523;818;2526;821;2526;821;2523
A;867;2620;867;2623;870;2623;870;2620
A;840;2636;840;2637;841;2637;841;2636
